team,league,wins,losses,hits,triples,homeruns
Arizona Diamondbacks,NL,81,81,1468,31,130
Atlanta Braves,NL,96,66,1354,21,181
Baltimore Orioles,AL,85,77,1460,14,212
Boston Red Sox,AL,97,65,1566,29,178
Chicago White Sox,AL,63,99,1385,19,148
Chicago Cubs,NL,66,96,1307,18,172
Cincinnati Reds,NL,90,72,1370,20,155
Cleveland Indians,AL,92,70,1391,23,171
Colorado Rockies,NL,74,88,1511,36,159
Detroit Tigers,AL,93,69,1625,23,176
Houston Astros,AL,51,111,1307,16,148
Kansas City Royals,AL,86,76,1443,34,112
Los Angeles Angels,AL,78,84,1476,39,164
Los Angeles Dodgers,NL,92,70,1447,17,138
Miami Marlins,NL,62,100,1257,31,95
Milwaukee Brewers,NL,74,88,1381,43,157
Minnesota Twins,AL,66,96,1346,15,151
New York Yankees,AL,85,77,1321,24,144
New York Mets,NL,74,88,1318,32,130
Oakland Athletics,AL,96,66,1403,25,186
Philadelphia Phillies,NL,73,89,1355,32,140
Pittsburgh Pirates,NL,94,68,1346,35,161
San Diego Padres,NL,76,86,1349,26,146
Seattle Mariners,AL,71,91,1318,17,188
San Francisco Giants,NL,76,86,1446,35,107
St. Louis Cardinals,NL,97,65,1494,20,125
Tampa Bay Rays,AL,92,71,1421,23,165
Texas Rangers,AL,91,72,1465,23,176
Toronto Blue Jays,AL,74,88,1398,24,185
Washington Nationals,NL,86,76,1365,27,161